prev_log,curr_log,next_log,label
"force: [0.000000, 0.000000, -1.122389], torque: [-0.066450, -0.082251, 0.000381]","force: [0.000000, 0.000000, -1.412390], torque: [-0.032668, 0.087999, -0.000111]","force: [0.000000, 0.000000, -0.492280], torque: [-0.050772, -0.021398, 0.000225]",0
"force: [0.000000, 0.000000, -1.412390], torque: [-0.032668, 0.087999, -0.000111]","force: [0.000000, 0.000000, -0.492280], torque: [-0.050772, -0.021398, 0.000225]",selected parameter default file /fs/mtd_params,0
selected parameter default file /fs/mtd_params,Publishing standard tune 1,"mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B",0
starting GPS fusion,wp storage array size is: 29,"rc wp seq:0,lat:30.285885,lon:120.000704,alt:120.000000",0
wp storage array size is: 29,"rc wp seq:0,lat:30.285885,lon:120.000704,alt:120.000000","rc wp seq:1,lat:30.285677,lon:120.001050,alt:120.000000",0
"rc wp seq:28,lat:30.269891,lon:119.972813,alt:90.000000","all way points has been received, wp num is: 29",Armed by external command,0
Preflight: not enough GPS Satellites,Preflight: GPS Horizontal Pos Error too high,Preflight: not enough GPS Satellites,0
pmw3901: no instance started (no device on bus?),Product_ID: 0,paw3902: no instance started (no device on bus?),1
Disarmed by landing,"closed logfile, bytes written: 4139030",Kill-switch disengaged,0
Preflight Fail: no valid data from Accel 1,Preflight Fail: Accel 1 uncalibrated,Preflight Fail: no valid data from Gyro 1,0
u-blox protocol version: 34.10,Preflight Fail: No manual control input,Preflight Fail: No manual control input,0
"no gyro selected, using sensor_gyro_fifo:0 2818058","mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 57600B","mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550",0
"mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550",Starting CDC/ACM autostart,logger started (mode=all),0
Preflight: GPS Vertical Pos Drift too high,Preflight Fail: heading estimate not stable,Preflight Fail: Yaw estimate error,0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 4221 bytes, decoded 4221 bytes (INT32:74, FLOAT:125)",0
"BSON document size 3277 bytes, decoded 3277 bytes (INT32:75, FLOAT:83)",selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,0
[logger] /fs/microsd/log/2025-07-19/03_21_06.ulg,Opened full log file: /fs/microsd/log/2025-07-19/03_21_06.ulg,failed to initialize mtd driver,0
failed to initialize mtd driver,mtd failure: -5 bus 2 address 0 class 1,selected parameter backup file /fs/microsd/parameters_backup.bson,1
Preflight Fail: Kill switch engaged,Preflight: GPS Horizontal Pos Drift too high,Preflight Fail: Kill switch engaged,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/01_57_05.ulg,Opened full log file: /fs/microsd/log/2025-08-07/01_57_05.ulg,0
IO FW CRC match,"Found address 0x45, running 'ina228 -X -b 1 -t 1 start'",Started 0x45 successfully,0
"force: [0.000000, 0.000000, 1.607403], torque: [-0.098310, 0.032345, -0.000325]","force: [0.000000, 0.000000, 1.227381], torque: [-0.073987, 0.002323, 0.000044]","force: [0.000000, 0.000000, 0.767580], torque: [-0.100674, -0.011184, 0.000294]",0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Preflight Fail: heading estimate not stable,0
Preflight Fail: Flight termination active,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/02_15_58.ulg,Opened full log file: /fs/microsd/log/2025-08-07/02_15_58.ulg,0
Takeoff detected,GPS spoofing detected! (state: 2),GPS reports spoofing indicated,0
"force: [0.000000, 0.000000, 0.522211], torque: [0.048093, -0.049474, -0.002263]","force: [0.000000, 0.000000, 0.522211], torque: [0.048089, -0.049469, -0.002265]","force: [0.000000, 0.000000, 0.442825], torque: [0.064559, -0.066163, -0.003040]",0
3 raw flags = 16842752 sz 36,5 raw flags = 16842753 sz 36,6 raw flags = 16842753 sz 36,0
"1 (8944643) EST:1 offset: [0.198, -0.103, -0.333]->[0.199, -0.101, -0.329] (full [0.228, -0.013,","closed logfile, bytes written: 7761252",Preflight: GPS fix too low,0
Preflight Fail: vertical velocity unstable,Preflight Fail: vertical velocity unstable,Preflight Fail: vertical velocity unstable,0
logger started (mode=all),Start file log (type: full),[logger] /fs/microsd/log/2025-08-05/08_29_40.ulg,0
Using default takeoff altitude: 1.5 m,Takeoff detected,Pilot took over using sticks,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/02_27_14.ulg,Opened full log file: /fs/microsd/log/2025-08-07/02_27_14.ulg,0
Landing detected,Disarmed by landing,Preflight: GPS fix too low,0
icm20649: no instance started (no device on bus?),Already running on bus 1,Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,0
FlightTaskAuto.cpp L358,FlightTaskAuto.cpp L616,FlightTaskAuto.cpp L623,0
FlightTaskAuto.cpp L616,FlightTaskAuto.cpp L623,FlightTaskAuto.cpp L358,0
FlightTaskAuto.cpp L623,FlightTaskAuto.cpp L358,FlightTaskAuto.cpp L616,0
Preflight Fail: Yaw estimate error,Preflight Fail: No connection to the ground control station,Preflight Fail: No connection to the ground control station,0
Preflight Fail: No connection to the ground control station,Preflight Fail: velocity estimate error,Preflight Fail: No connection to the ground control station,0
Preflight Fail: Yaw estimate error,Preflight Fail: Yaw estimate error,Preflight Fail: Yaw estimate error,0
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,Allocated DMA UP Timer Index 0,0
Allocated DMA UP Timer Index 0,Using non-standard baudrate: 420000,Crsf serial opened sucessfully,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-06/08_05_17.ulg,Opened full log file: /fs/microsd/log/2025-08-06/08_05_17.ulg,0
Opened full log file: /fs/microsd/log/2025-08-06/08_05_17.ulg,Takeoff detected,Landing detected,0
Using non-standard baudrate: 420000,Crsf serial opened sucessfully,"mode: Onboard, data rate: 80000 B/s on /dev/ttyS0 @ 921600B",0
[logger] /fs/microsd/log/2025-08-07/02_20_12.ulg,Opened full log file: /fs/microsd/log/2025-08-07/02_20_12.ulg,IO FW CRC match,0
icm20689: no instance started (no device on bus?),ist8310: no instance started (no device on bus?),hmc5883: no instance started (no device on bus?),0
YAW : Switch to Mag Heading fusion,0 - mag sensor ID changed 4272933121 -> 8944899,YAW : Switch to Mag Heading fusion,0
rc control switch to x56 fail,"instance: 0, max rate: 100, default: 50, alt: 50",rc control switch to sbus success,0
ist8310: no instance started (no device on bus?),"mode: Normal, data rate: 5760 B/s on /dev/ttyS5 @ 115200B",logger started (mode=all),0
"successfully created rt/fmu/out/vehicle_gps_position data writer, topic id: 215","successfully created rt/fmu/out/vehicle_global_position data writer, topic id: 213",Connection to ground station lost,0
Using minimum takeoff altitude: 0.50 m,Disarmed by auto preflight disarming,Armed by external command,0
selected parameter default file /fs/mtd_params,"BSON document size 2890 bytes, decoded 2890 bytes",open '/fs/microsd/backup_param/param.txt' failed (20),0
"[cal] left side done, rotate to a different side",[cal] pending: right,[cal] hold vehicle still on a pending side,0
[cal] hold vehicle still on a pending side,"[cal] detected rest position, hold still...",[cal] right orientation detected,0
[cal] progress <102>,"[cal] right side done, rotate to a different side","[cal] right side done, rotate to a different side",0
"closed logfile, bytes written: 2007741",Armed by RC (switch),Start file log (type: full),0
Preflight Fail: Attitude failure (pitch),Preflight Fail: heading estimate not stable,Arming denied: Resolve system health failures first,0
Kill engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Registered Topic for 0x6 0x8,Registered Topic for 0x6 0x1,Registered Topic for 0x6 0x24,0
Registered Topic for 0x1 0x4,try baud 115200,try baud 4800,0
MAG switch from #0 -> #1,try baud 19200,try baud 38400,0
0 raw flags = 16842753 sz 36,3 raw flags = 16842752 sz 36,5 raw flags = 16842753 sz 36,0
[logger] /fs/microsd/log/2025-08-07/02_07_07.ulg,Opened full log file: /fs/microsd/log/2025-08-07/02_07_07.ulg,Disarmed by external command,0
[cal] progress <23>,[cal] progress <26>,[cal] progress <30>,0
[cal] progress <57>,[cal] progress <61>,[cal] progress <65>,0
[cal] Blow into front of pitot without touching,"[cal] Create air pressure! (got 0, wanted: 50 Pa)",[cal] Positive pressure: OK (51 Pa),0
Armed by external command,Start file log (type: full),[logger] /fs/microsd/log/2025-08-05/08_29_54.ulg,0
RTT too high for timesync: 18 ms,RTT too high for timesync: 17 ms,RTT too high for timesync: 18 ms,0
RTT too high for timesync: 13 ms,primary EKF changed 1 (unhealthy) -> 0,Preflight Fail: Accel 0 inconsistent - check cal,0
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 62560 bytes,qmc5883l: no instance started (no device on bus?),0
"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 115200B","mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B",RC scan: CRSF RC input locked,0
Opened full log file: /fs/microsd/log/sess100/log100.ulg,mtd_partition failed. offset=32 nblocks=0,mtd failure: -28 bus 2 address 0 class 2,1
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 3094 bytes, decoded 3094 bytes (INT32:61, FLOAT:89)",0
Opened full log file: /fs/microsd/log/2025-08-07/01_52_00.ulg,Takeoff detected,primary EKF changed 0 (filter fault) -> 1,0
Opened full log file: /fs/microsd/log/2025-08-07/02_00_01.ulg,"force: [0.000000, 0.000000, 4.124065], torque: [-0.107200, -0.251189, 0.002059]","force: [0.000000, 0.000000, 4.564559], torque: [-0.114861, -0.256899, 0.002228]",0
"force: [0.000000, 0.000000, 4.854842], torque: [-0.127398, -0.230558, 0.002005]","force: [0.000000, 0.000000, 4.684888], torque: [-0.178013, -0.213232, 0.002920]","force: [0.000000, 0.000000, 5.304321], torque: [-0.137630, -0.262313, 0.002628]",0
"force: [0.000000, 0.000000, 6.004362], torque: [-0.167720, -0.280082, 0.002866]","force: [0.000000, 0.000000, 6.004362], torque: [-0.167716, -0.279948, 0.002925]","force: [0.000000, 0.000000, 6.034626], torque: [-0.136895, -0.298769, 0.002555]",0
"mode: Onboard, data rate: 80000 B/s on /dev/ttyS0 @ 921600B",get: param 65535 invalid,"mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B",1
"Node ID 1, bitrate 1000000",get: param 65535 invalid,Setting system clock from SYSTEM_TIME sent by 1/240,1
Start file log (type: full),[logger] /fs/microsd/log/2025-07-26/01_40_36.ulg,Opened full log file: /fs/microsd/log/2025-07-26/01_40_36.ulg,0
"force: [0.000000, 0.000000, -0.047516], torque: [0.037641, 0.251677, 0.002414]","force: [0.000000, 0.000000, -0.337944], torque: [0.051844, 0.256208, 0.003019]","force: [0.000000, 0.000000, -0.187337], torque: [0.042116, 0.255051, 0.002648]",0
"force: [0.000000, 0.000000, -0.327646], torque: [0.034593, 0.262930, 0.002302]",Preflight: GPS Speed Accuracy too low,Preflight Fail: Attitude failure (roll),0
Preflight Fail: Flight termination active,Disarming denied! Not landed,Disarmed by kill-switch,0
Disarmed by kill-switch,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Preflight Fail: Flight termination active,Preflight Fail: Vehicle is in transition state,"closed logfile, bytes written: 5469368",0
parameter export to /fs/mtd_params failed (1) attempt 3,param export failed (1),"param auto save unavailable (1), retrying..",1
verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 3,1
IO FW CRC match,Already running on bus 1,"instance: 0, max rate: 100, default: 50, alt: 50",0
Armed by RC,Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/01_54_55.ulg,0
Armed by RC,Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/01_54_55.ulg,0
"force: [0.000000, 0.000000, -0.247795], torque: [0.060099, 0.276216, 0.003631]","force: [0.000000, 0.000000, -0.038347], torque: [0.048893, 0.259906, 0.003025]","force: [0.000000, 0.000000, -0.047516], torque: [0.037641, 0.251677, 0.002414]",0
GPS 1: probing for NMEA at 230400 baud,GPS 1: detected NMEA,"NMEA ""UM982"" ""R4.10Build11826"" ""2023/11/24""",0
"param auto save unavailable (1), retrying..",killed: unsupported node type,verify: failed (-1),1
parameter export to /fs/mtd_params failed (1) attempt 1,verify: invalid parameter 'CAL_GYRO0_XOF ',verify: failed (-1),1
parameter export to /fs/mtd_params failed (1) attempt 1,verify: 'CAL_ACC0_YOFF' invalid BSON value 0.000 (expected 0.126),verify: failed (-1),1
verify: invalid parameter 'CAL_GYRO0_YOF@',verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 3,1
verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 3,param export failed (1),1
verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 1,Armed by RC switch,1
Preflight Fail: ekf2 missing data,"gyro 1 (3604506) updating offsets [0.014, -0.013, 0.004]->[0.001, 0.006, -0.001] 41.3 degC",Setting system clock from SYSTEM_TIME sent by 1/240,0
unknown param ID: 1002,unknown param ID: 1003,unknown param ID: 1004,1
Opened full log file: /fs/microsd/log/2025-08-07/01_15_28.ulg,Using default takeoff altitude: 1.5 m,Takeoff detected,0
Takeoff detected,Pilot took over using sticks,Landing detected,0
Preflight Fail: Yaw estimate error,Preflight: GPS fix too low,Preflight: GPS fix too low,0
Preflight: GPS fix too low,GetSet error during param count,Preflight: GPS fix too low,1
Preflight: GPS fix too low,Armed by external command,Start file log (type: full),0
"create entities failed: rt/fmu/out/vehicle_odometry, topic: 255 publisher: 255 datawriter: 255","create entities failed: rt/fmu/out/vehicle_status, topic: 255 publisher: 255 datawriter: 255",Landing detected,1
"successfully created rt/fmu/out/failsafe_flags data writer, topic id: 80","successfully created rt/fmu/out/sensor_combined data writer, topic id: 168","successfully created rt/fmu/out/timesync_status data writer, topic id: 191",0
"successfully created rt/fmu/out/vehicle_odometry data writer, topic id: 224","successfully created rt/fmu/out/vehicle_status data writer, topic id: 229","No ping response, disconnecting",0
[cal] back orientation detected,"[cal] Hold still, measuring back side",[cal] back side result: [9.677 -1.157 0.753],0
Disarmed by RC (switch),"closed logfile, bytes written: 267670",Armed by RC (switch),0
[logger] /fs/microsd/log/2025-08-07/00_35_03.ulg,Opened full log file: /fs/microsd/log/2025-08-07/00_35_03.ulg,Takeoff detected,0
Opened full log file: /fs/microsd/log/2025-08-07/00_37_08.ulg,"param import failed (-1) attempt 1, retrying","param import failed (-1) attempt 2, retrying",1
"param import failed (-1) attempt 3, retrying","param import failed (-1) attempt 4, retrying",importing from '/fs/mtd_caldata' failed (-1),1
"BSON document size 1439 bytes, decoded 1439 bytes","Node ID 1, bitrate 1000000",IO FW CRC match,0
ist8310: no instance started (no device on bus?),already running,"Mission #2 loaded, 2 WPs, curr: 0",0
logger started (mode=all),"gyro 1 (2490378) updating calibration, [0.0457, -0.0252, -0.0031] -> [0.0473, -0.0151, -0.0044] 36.6°C",1 - resetting IMU bias,0
1 - resetting IMU bias,input source changed 0 -> 4,input source changed to futaba,0
input source changed 0 -> 4,input source changed to futaba,Armed by RC,0
Disarmed by landing,"closed logfile, bytes written: 815808",Armed by RC,0
Allocated DMA UP Timer Index 0,Using non-standard baudrate: 420000,Crsf serial opened sucessfully,0
Disarmed by auto preflight disarming,"0 (527633) EST:0 offset: [0.004, 0.047, 0.444]->[-0.076, 0.031, 0.441] (full [-0.249, -0.064, 0.3","0 (527633) EST:1 offset: [-0.076, 0.031, 0.441]->[-0.115, 0.017, 0.438] (full [-0.235, -0.080, 0.",0
"0 (527633) EST:0 offset: [0.004, 0.047, 0.444]->[-0.076, 0.031, 0.441] (full [-0.249, -0.064, 0.3","0 (527633) EST:1 offset: [-0.076, 0.031, 0.441]->[-0.115, 0.017, 0.438] (full [-0.235, -0.080, 0.","closed logfile, bytes written: 1439024",0
parameter export to /fs/mtd_params failed (1) attempt 3,param export failed (1),"param auto save unavailable (1), retrying..",1
[logger] /fs/microsd/log/2025-08-07/01_30_33.ulg,Opened full log file: /fs/microsd/log/2025-08-07/01_30_33.ulg,verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),0
verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 1,verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),1
verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 2,1
Opened full log file: /fs/microsd/log/2025-08-07/01_30_41.ulg,verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),verify: failed (-1),1
parameter export to /fs/mtd_params failed (1) attempt 1,verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),verify: failed (-1),1
"param auto save unavailable (1), retrying..",verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),verify: failed (-1),1
unknown param ID: 935,Armed by external command,Start file log (type: full),0
[logger] /fs/microsd/log/2025-08-07/01_13_50.ulg,Opened full log file: /fs/microsd/log/2025-08-07/01_13_50.ulg,Disarmed by external command,0
unknown param ID: 1002,unknown param ID: 1003,unknown param ID: 1004,1
unknown param ID: 1011,unknown param ID: 1026,unknown param ID: 1027,1
Preflight: GPS fix too low,"closed logfile, bytes written: 5759131",Preflight: GPS fix too low,0
Preflight: GPS fix too low,Preflight: GPS fix too low,Preflight: GPS fix too low,0
RTT too high for timesync: 20 ms,RTT too high for timesync: 29 ms,RTT too high for timesync: 19 ms,0
Connection to mission computer lost,primary EKF changed 2 (filter fault) -> 1,Preflight Fail: vertical velocity unstable,0
RTT too high for timesync: 19 ms,Preflight Fail: vertical velocity unstable,Preflight Fail: velocity estimate error,0
Start file log (type: full),[logger] /fs/microsd/log/sess113/log100.ulg,Opened full log file: /fs/microsd/log/sess113/log100.ulg,0
Opened full log file: /fs/microsd/log/sess113/log104.ulg,Takeoff detected,Kill engaged,0
"gyro 1 (3604506) updating offsets [-0.003, 0.002, -0.001]->[0.007, 0.008, -0.001] 33.2 degC",Preflight Fail: heading estimate not stable,Preflight Fail: Accel 0 inconsistent - check cal,0
Preflight Fail: heading estimate not stable,"gyro 1 (3604506) updating offsets [0.014, -0.009, 0.003]->[0.017, -0.018, 0.006] 52.0 degC",Armed by RC switch,0
mission check failed,Mission rejected: unsupported landing approach entrance waypoint type. Only ORBIT_TO_ALT o,mission check failed,0
Mission rejected: the landing glide slope is steeper than the vehicle setting of 5.0 degre,"Reduce the glide slope, lower the entrance altitude 33 meters, or increase the landing app",mission check failed,0
"Reduce the glide slope, lower the entrance altitude 12 meters, or increase the landing app",mission check failed,Mission rejected: the landing glide slope is steeper than the vehicle setting of 5.0 degre,0
Preflight Fail: velocity estimate error,Preflight Fail: Yaw estimate error,Preflight Fail: horizontal velocity unstable,0
selected parameter default file /fs/mtd_params,"BSON document size 2842 bytes, decoded 2842 bytes",open '/fs/microsd/backup_param/param.txt' failed (20),0
hmc5883: no instance started (no device on bus?),"Mission #3 loaded, 8 WPs, curr: 0","mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B",0
Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,"instance: 0, max rate: 100, default: 50, alt: 50","instance: 0, max rate: 100, default: 50, alt: 50",0
Opened full log file: /fs/microsd/log/2025-07-29/02_51_24.ulg,unknown param ID: 900,unknown param ID: 902,1
unknown param ID: 930,unknown param ID: 931,unknown param ID: 932,1
"mode: Onboard, data rate: 100000 B/s on /dev/ttyACM0 @ 2000000B",GCS connection regained,Preflight: GPS fix too low,0
Preflight: GPS fix too low,GetSet error during param count,Preflight: GPS fix too low,1
Opened full log file: /fs/microsd/log/2025-07-28/08_33_34.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
[logger] /fs/microsd/log/sess113/log100.ulg,Opened full log file: /fs/microsd/log/sess113/log100.ulg,Disarmed by RC (switch),0
[logger] /fs/microsd/log/sess113/log101.ulg,Opened full log file: /fs/microsd/log/sess113/log101.ulg,Disarmed by RC (switch),0
[logger] /fs/microsd/log/sess113/log100.ulg,Opened full log file: /fs/microsd/log/sess113/log100.ulg,Disarmed by RC (switch),0
u-blox protocol version: 34.10,Preflight Fail: Yaw estimate error,"gyro 1 (3932170) updating offsets [0.001, 0.009, -0.007]->[0.005, 0.000, -0.006] 47.6 degC",0
[logger] /fs/microsd/log/2025-08-06/03_49_11.ulg,Opened full log file: /fs/microsd/log/2025-08-06/03_49_11.ulg,Disarmed by RC (switch),0
Preflight: GPS fix too low,Preflight: GPS fix too low,Preflight: GPS fix too low,0
Preflight: GPS fix too low,Preflight: GPS fix too low,Preflight: GPS fix too low,0
unknown param ID: 894,unknown param ID: 895,unknown param ID: 896,1
unknown param ID: 1003,unknown param ID: 1004,unknown param ID: 1006,1
verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 1,1
verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 3,1
parameter export to /fs/mtd_params failed (1) attempt 1,verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),verify: failed (-1),1
verify: failed (-1),parameter export to /fs/mtd_params failed (1) attempt 2,verify: 'BAT1_A_PER_V' invalid BSON value nan (expected nan),1
Climb to 3.0 meters above home,Takeoff detected,Landing detected,0
Arming denied: switch to manual mode first,Armed by RC (switch),Start file log (type: full),0
Opened full log file: /fs/microsd/log/2025-05-28/03_01_08.ulg,Executing Mission,Climb to 3.0 meters above home,0
"Node ID 1, bitrate 1000000",u-blox protocol version: 18.00,u-blox module: NEO-M8N-0,0
Preflight Fail: Flight termination active,Kill disengaged,Armed by external command,0
Armed by external command,Start file log (type: full),[logger] /fs/microsd/log/2025-05-28/02_47_10.ulg,0
selected parameter default file /fs/microsd/params,importing from '/fs/microsd/params',"BSON document size 991 bytes, decoded 991 bytes (INT32:22, FLOAT:25)",0
"BSON document size 1977 bytes, decoded 1977 bytes (INT32:47, FLOAT:52)",selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,0
"force: [0.000000, 0.000000, -2.985312], torque: [0.002105, -0.030439, -0.000365]","force: [0.000000, 0.000000, -2.195336], torque: [-0.034019, -0.046682, 0.000044]","force: [0.000000, 0.000000, -1.595604], torque: [-0.035225, -0.061295, -0.000069]",0
"force: [0.000000, 0.000000, 1.046539], torque: [-0.091996, -0.055600, 0.000987]","force: [0.000000, 0.000000, -1.646173], torque: [-0.043524, -0.080158, -0.000119]","force: [0.000000, 0.000000, -2.916085], torque: [-0.045091, -0.044689, 0.000287]",0
"action_request lost, generation 9 -> 11",Arming denied: switch to manual mode first,"action_request lost, generation 11 -> 13",0
GCS connection regained,Armed by external command,Start file log (type: full),0
Preflight Fail: Flight termination active,Kill-switch disengaged,Disarmed by auto preflight disarming,0
Landing detected,Disarmed by landing,"closed logfile, bytes written: 746270",0
Kill-switch engaged,Kill-switch disengaged,Armed by RC (switch),0
"Node ID 1, bitrate 1000000",Armed by RC (switch),Start file log (type: full),0
Start file log (type: full),[logger] /fs/microsd/log/sess106/log100.ulg,Opened full log file: /fs/microsd/log/sess106/log100.ulg,0
IO FW CRC match,bmi055: no instance started (no device on bus?),bmi055: no instance started (no device on bus?),1
u-blox firmware version: SPG 3.01,u-blox protocol version: 18.00,u-blox module: NEO-M8N-0,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-06/22_51_33.ulg,Opened full log file: /fs/microsd/log/2025-08-06/22_51_33.ulg,0
Preflight Fail: Avionics Power low:   4.79 Volt,Armed by RC (switch),Start file log (type: full),0
Preflight Fail: Avionics Power low:   4.77 Volt,"1 (396809) EST:0 offset: [-0.006, -0.033, 0.205]->[-0.001, -0.037, 0.206] (full [0.008, -0.039, 0","closed logfile, bytes written: 1030283",0
"successfully created rt/fmu/out/sensor_combined data writer, topic id: 168","successfully created rt/fmu/out/timesync_status data writer, topic id: 191","successfully created rt/fmu/out/vehicle_control_mode data writer, topic id: 212",0
"closed logfile, bytes written: 530500",Opened full log file: /fs/microsd/log/2021-02-18/23_58_08.ulg,selected parameter backup file /fs/microsd/parameters_backup.bson,0
Opened full log file: /fs/microsd/log/2021-02-18/23_58_08.ulg,selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 128528 bytes,0
no broadcasting address found,logger started (mode=all),"Node ID 1, bitrate 1000000",0
get: param 65535 invalid,advertising node_id 125 on index 0,u-blox firmware version: HPG 1.13,0
Autotune aborted before finishing,Autotune returned to idle,Preflight Fail: Vehicle is in transition state,0
[cal] progress <69>,[cal] progress <73>,[cal] progress <76>,0
logger started (mode=all),Logging FIFO data: increasing task prio and logging rate,RC scan: CRSF RC input locked,0
bmi055: no instance started (no device on bus?),ist8310: no instance started (no device on bus?),"no gyro selected, using sensor_gyro_fifo:0 3670026",0
Manual control lost,Failsafe enabled: No manual control stick input,Failsafe mode activated,0
Preflight Fail: Attitude failure (roll),Preflight Fail: Attitude failure (roll),Preflight Fail: Attitude failure (roll),0
Disarmed by RC switch,"1 (527625) EST:0 offset: [0.043, 0.206, 0.025]->[0.008, 0.197, 0.055] (full [-0.023, 0.172, 0.071","closed logfile, bytes written: 236925",0
"closed logfile, bytes written: 236590",get: param 65535 invalid,Armed by external command,1
parameter export to /fs/mtd_params failed (-1) attempt 2,parameter export to /fs/mtd_params failed (-1) attempt 3,param export failed (-1),1
Disarmed by RC (switch),"closed logfile, bytes written: 1219129",Armed by RC (switch),0
Preflight: GPS Vertical Pos Drift too high,Preflight: GPS Vertical Pos Drift too high,Preflight: GPS Horizontal Pos Drift too high,0
Preflight: GPS Speed Accuracy too low,Preflight Fail: Geofence RTL requires valid home,Preflight: GPS Horizontal Pos Drift too high,0
Preflight: GPS Horizontal Pos Drift too high,Arming denied: Resolve system health failures first,Arming denied: Resolve system health failures first,0
param auto save failed (-1),RTT too high for timesync: 16 ms,RTT too high for timesync: 14 ms,0
RTT too high for timesync: 13 ms,RTT too high for timesync: 18 ms,RTT too high for timesync: 15 ms,0
RTT too high for timesync: 11 ms,RTT too high for timesync: 14 ms,RTT too high for timesync: 14 ms,0
RTT too high for timesync: 14 ms,RTT too high for timesync: 14 ms,RTT too high for timesync: 14 ms,0
RTT too high for timesync: 14 ms,RTT too high for timesync: 14 ms,RTT too high for timesync: 12 ms,0
RTT too high for timesync: 14 ms,RTT too high for timesync: 14 ms,RTT too high for timesync: 15 ms,0
RTT too high for timesync: 12 ms,RTT too high for timesync: 14 ms,RTT too high for timesync: 13 ms,0
Takeoff detected,selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 62560 bytes,0
"instance: 0, max rate: 100, default: 50, alt: 50",Mixer: /etc/mixers/octo_cox.main.mix on /dev/pwm_output0,Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,0
[logger] /fs/microsd/log/2025-08-06/00_49_52.ulg,Opened full log file: /fs/microsd/log/2025-08-06/00_49_52.ulg,Manual control lost,0
Opened full log file: /fs/microsd/log/2025-08-06/00_49_52.ulg,Manual control lost,Failsafe enabled: No manual control stick input,0
Using minimum takeoff altitude: 2.50 m,Manual control regained after 0.8s,Takeoff detected,0
Manual control regained after 86.8s,Preflight: GPS fix too low,Armed by external command,0
u-blox protocol version: 32.01,u-blox module: NEO-M9N,Preflight Fail: heading estimate not stable,0
"successfully created rt/fmu/out/failsafe_flags data writer, topic id: 93","successfully created rt/fmu/out/manual_control_setpoint data writer, topic id: 141","successfully created rt/fmu/out/position_setpoint_triplet data writer, topic id: 180",0
